ObjectName,mu_obs,mu_obs_err,d_obs,d_obs_err,vgroup_cmb,RA,DEC,Redshift
IC2597,33.673,0.082,54.3,2.1,4099,159.447716,-27.081695,0.007562
NGC0057,34.126,0.094,66.9,2.9,5278,3.878617,17.328519,0.01788
NGC0315,34.166,0.081,68.1,2.5,4819,14.45368,30.352448,0.016485
NGC0383,34.101,0.084,66.1,2.6,4900,16.853995,32.412559,0.017005
NGC0410,33.937,0.082,61.3,2.3,4900,17.745435,33.151892,0.017359
NGC0495,34.049,0.081,64.5,2.4,4626,20.733333,33.471667,0.013723
NGC0507,33.953,0.081,61.7,2.3,4626,20.916277,33.256062,0.016458
NGC0524,32.212,0.09,27.7,1.1,2166,21.198833,9.538833,0.008016
NGC0533,34.31,0.077,72.8,2.6,5073,21.380667,1.759111,0.018509
NGC0545,34.489,0.11,79.0,4.0,5083,21.496333,-1.340222,0.017806
NGC0547,34.391,0.096,75.5,3.3,5083,21.502636,-1.345159,0.018239
NGC0665,33.973,0.084,62.3,2.4,5074,26.23375,10.423028,0.018219
NGC0708,33.945,0.085,61.5,2.4,4687,28.193667,36.151833,0.015886
NGC0741,34.214,0.08,69.6,2.6,5144,29.087639,5.628938,0.018294
NGC0777,34.161,0.082,68.0,2.6,4988,30.062091,31.429571,0.016728
NGC0809,34.376,0.109,75.0,3.8,5148,31.079039,-8.735293,0.017812
NGC0890,33.296,0.081,45.6,1.7,3782,35.504208,33.266056,0.013164
NGC0910,34.459,0.093,77.9,3.3,5597,36.361583,41.824278,0.017062
NGC1016,34.67,0.085,85.9,3.4,6449,39.5815,2.11925,0.02163
NGC1060,33.653,0.108,53.8,2.7,4788,40.812708,32.424972,0.016948
NGC1129,34.105,0.095,66.2,2.9,5247,43.614068,41.57959,0.017472
NGC1167,33.65,0.113,53.7,2.8,4808,45.426538,35.205744,0.016528
NGC1200,33.66,0.08,54.0,2.0,3793,45.977,-11.991806,0.013503
NGC1201,31.347,0.074,18.6,0.6,1500,46.03325,-26.069639,0.005624
NGC1259,34.365,0.105,74.6,3.6,5281,49.321996,41.385489,0.0194
NGC1272,34.256,0.099,71.0,3.2,5281,49.838708,41.490639,0.012725
NGC1278,34.202,0.106,69.2,3.4,5281,49.975625,41.563389,0.020314
NGC1453,33.546,0.085,51.2,2.0,3946,56.613542,-3.968778,0.012962
NGC1573,34.014,0.094,63.5,2.7,4408,68.766625,73.262417,0.013877
NGC1600,34.277,0.083,71.7,2.7,4502,67.916417,-5.08625,0.015613
NGC1684,33.989,0.079,62.8,2.3,4511,73.129792,-3.106056,0.014838
NGC1700,33.59,0.076,52.2,1.8,3953,74.23464,-4.865774,0.013006
NGC2258,33.781,0.094,57.0,2.5,3979,101.940833,74.481667,0.013539
NGC2274,34.196,0.086,69.1,2.7,5207,101.822375,33.567194,0.016785
NGC2340,34.514,0.102,79.9,3.8,6061,107.795129,50.174755,0.019764
NGC2513,34.258,0.078,71.1,2.6,4724,120.602805,9.413557,0.015561
NGC2672,34.103,0.081,66.2,2.5,4502,132.341208,19.074972,0.014487
NGC2693,34.256,0.096,71.0,3.1,5248,134.246955,51.34744,0.016083
NGC2765,33.725,0.083,55.6,2.1,4130,136.902677,3.392904,0.012591
NGC2962,32.532,0.084,32.1,1.2,2354,145.224729,5.165812,0.006561
NGC3158,34.806,0.099,91.5,4.2,7185,153.460497,38.764898,0.023086
NGC3392,33.861,0.088,59.2,2.4,3456,162.762509,65.781565,0.010779
NGC3504,32.683,0.095,34.4,3.8,1760,165.796708,27.9725,0.005087
NGC3842,34.711,0.102,87.5,4.1,6987,176.008958,19.949806,0.020794
NGC4036,31.776,0.078,22.7,0.8,1442,180.361472,61.89578,0.00462
NGC4073,34.646,0.141,85.0,5.5,6380,181.112773,1.895965,0.019719
NGC4386,32.427,0.08,30.6,1.1,1661,186.118125,75.528917,0.005594
NGC4839,34.8,0.096,91.2,4.0,7331,194.351506,27.497818,0.024477
NGC4874,34.981,0.128,99.1,5.8,7331,194.898779,27.959268,0.023907
NGC4914,34.133,0.075,67.1,2.3,4962,195.178958,37.315278,0.015287
NGC4993,33.023,0.076,40.2,1.4,2924,197.44875,-23.383889,0.009727
NGC5322,32.49,0.072,31.5,1.0,2071,207.313621,60.190533,0.005937
NGC5353,32.711,0.076,34.8,1.2,2645,208.361221,40.283031,0.007755
NGC5490,34.267,0.08,71.4,2.6,5357,212.488728,17.545551,0.016137
NGC5557,33.458,0.072,49.2,1.6,3295,214.607183,36.49356,0.010737
NGC5839,32.369,0.078,29.8,1.1,1825,226.364541,1.634806,0.004069
NGC6482,33.57,0.091,51.8,2.2,3871,267.953375,23.071944,0.012821
NGC6702,33.992,0.087,62.9,2.5,4648,281.739917,45.705667,0.015771
NGC6964,33.685,0.096,54.6,2.4,3698,311.85125,0.300833,0.012642
NGC7052,33.957,0.092,61.9,2.6,4412,319.637708,26.447028,0.015584
NGC7242,34.504,0.104,79.6,3.8,5610,333.91875,37.300556,0.019304
NGC7619,33.341,0.081,46.6,1.7,3043,350.060549,8.206246,0.012549
ESO125-G006,34.896,0.195,95.3,8.6,6883,132.649375,-61.277917,0.021942
